source_file,accuracy,macro_precision,macro_recall,macro_f1,defective_precision,defective_recall,defective_f1,tn,fp,fn,tp,nonconforming_output_rate,adapter_path,classification_mode
results/zero_shot_validation_metrics.json,0.5201317715959004,0.508894819382909,0.5087708536109907,0.5085726187433137,0.44493783303730017,0.42207245155855094,0.43320363164721143,920,625,686,501,,,
results/zero_shot_test_metrics.json,0.5263543191800878,0.5195994356843713,0.5190741435072169,0.5179847247643377,0.4825425246195166,0.4294820717131474,0.45446880269814505,899,578,716,539,,,
results/four_shot_validation_metrics.json,0.5655197657393851,0.28275988286969256,0.5,0.36123451017068037,0.0,0.0,0.0,1545,0,1187,0,,,
results/four_shot_test_metrics.json,0.5406295754026355,0.2703147877013177,0.5,0.35091470658113566,0.0,0.0,0.0,1477,0,1255,0,,,
results/lora_validation_metrics.json,0.5556368960468521,0.5509864192520321,0.5515822707159274,0.5508514009452488,0.48931116389548696,0.5206402695871946,0.5044897959183674,900,645,569,618,0.0,outputs/qwen25_7b_lora_bf16_512/final_adapter,logprob
results/lora_test_metrics.json,0.5523426061493412,0.5508158708347647,0.5510737011331789,0.5507037558432288,0.5121951219512195,0.5354581673306773,0.5235683677444488,837,640,583,672,0.0,outputs/qwen25_7b_lora_bf16_512/final_adapter,logprob
results/majority_test_metrics.json,0.5406295754026355,0.2703147877013177,0.5,0.35091470658113566,0.0,0.0,0.0,1477,0,1255,0,,,
results/tfidf_linear_svm_test_metrics.json,0.6006588579795022,0.5994533320457935,0.6000105198704168,0.599369284035765,0.5620272314674736,0.5920318725099601,0.576639503298409,898,579,512,743,,,
results/tfidf_logreg_test_metrics.json,0.6222547584187409,0.6227794134751807,0.6235763783053299,0.621807037113943,0.5806218365871294,0.6398406374501993,0.6087945413191812,897,580,452,803,,,
results/graphcodebert_validation_metrics.json,0.6617862371888726,0.654859013643587,0.6502160678112126,0.6512893506252393,0.6227824463118581,0.5619208087615838,0.5907883082373782,1141,404,520,667,,,
results/graphcodebert_test_metrics.json,0.6588579795021962,0.6571501319253832,0.651500430235726,0.6516869671799249,0.6488479262672812,0.5609561752988048,0.6017094017094017,1096,381,551,704,,,
outputs/baselines/majority_validation_metrics.json,0.5655197657393851,0.28275988286969256,0.5,0.36123451017068037,0.0,0.0,0.0,1545,0,1187,0,,,
outputs/baselines/tfidf_linear_svm_validation_metrics.json,0.6182284040995608,0.6143342743871845,0.6158041675868293,0.6144345969620248,0.5565149136577708,0.5973041280539174,0.576188541243397,980,565,478,709,,,
outputs/baselines/tfidf_logreg_validation_metrics.json,0.6464128843338214,0.6446601785527519,0.6470676121848613,0.6441470814287449,0.5832705350414469,0.6520640269587195,0.6157517899761337,992,553,413,774,,,
outputs/qwen25_7b_lora_bf16_512/test_metrics.json,0.5523426061493412,0.5508158708347647,0.5510737011331789,0.5507037558432288,0.5121951219512195,0.5354581673306773,0.5235683677444488,837,640,583,672,0.0,outputs/qwen25_7b_lora_bf16_512/final_adapter,logprob
outputs/qwen25_7b_lora_bf16_512/validation_metrics.json,0.5556368960468521,0.5509864192520321,0.5515822707159274,0.5508514009452488,0.48931116389548696,0.5206402695871946,0.5044897959183674,900,645,569,618,0.0,outputs/qwen25_7b_lora_bf16_512/final_adapter,logprob
outputs/smoke_lora_512/validation_metrics.json,0.4787701317715959,0.5042819249715801,0.5037278172652495,0.47057030379041254,0.43713527851458883,0.6941870261162595,0.5364583333333334,484,1061,363,824,0.0,outputs/smoke_lora_512/final_adapter,logprob
